2003 12 01 16 15  31.85 269.41   0.45 101.00 610.5
2003 12 01 16 20  31.74 265.22   0.22 101.00 610.5
2003 12 01 16 25  31.74 265.22   0.22 101.00 610.5
2003 12 01 16 30  31.74 265.22   0.22 101.00 610.5
2003 12 01 16 35  31.74 265.22   0.22 101.00 610.5
2003 12 01 16 40  31.74 265.22   0.22 101.00 610.5
2003 12 01 16 45  31.44 274.59   0.04 101.00 610.5
2003 12 01 16 50  31.44 274.59   0.04 101.00 610.5
2003 12 01 16 55  31.44 274.59   0.04 101.00 610.5
2003 12 01 17 00  27.25 276.19  -0.01 101.00 610.7
2003 12 01 17 05  27.25 276.19  -0.01 101.00 610.7
2003 12 01 17 10  27.25 276.19  -0.01 101.00 610.7
2003 12 01 17 15  24.94 270.91   0.39 101.00 610.9
2003 12 01 17 20  24.94 270.91   0.39 101.00 610.9
2003 12 01 17 25  24.94 270.91   0.39 101.00 610.9
2003 12 01 17 30  29.90 269.11   0.15 100.90 610.8
2003 12 01 17 35  29.90 269.11   0.15 100.90 610.8
2003 12 01 17 40  29.90 269.11   0.15 100.90 610.8
2003 12 01 17 45  32.72 269.86  -0.07 101.00 610.8
2003 12 01 17 50  27.15 245.50  -0.19 101.00 611.0
2003 12 01 17 55  27.15 245.50  -0.19 101.00 611.0
2003 12 01 18 00  27.15 245.50  -0.19 101.00 611.0
2003 12 01 18 05  27.15 245.50  -0.19 101.00 611.0
2003 12 01 18 10  27.15 245.50  -0.19 101.00 611.0
2003 12 01 18 15  17.52 233.63  -1.19 101.00 611.0
2003 12 01 18 20  17.52 233.63  -1.19 101.00 611.0
2003 12 01 18 25  17.52 233.63  -1.19 101.00 611.0
2003 12 01 18 30  27.77 246.58  -1.18 101.00 610.9
2003 12 01 18 35  27.77 246.58  -1.18 101.00 610.9
2003 12 01 18 40  27.77 246.58  -1.18 101.00 610.9
2003 12 01 18 45  25.58 243.04  -1.29 101.00 611.1
2003 12 01 18 50  25.58 243.04  -1.29 101.00 611.1
2003 12 01 18 55  25.58 243.04  -1.29 101.00 611.1
2003 12 01 19 00  23.38 237.58  -1.56 101.00 611.3
2003 12 01 19 05  23.38 237.58  -1.56 101.00 611.3
2003 12 01 19 10  23.38 237.58  -1.56 101.00 611.3
2003 12 01 19 15  17.23 234.60  -1.81 101.00 611.3
2003 12 01 19 20  17.23 234.60  -1.81 101.00 611.3
2003 12 01 19 25  17.23 234.60  -1.81 101.00 611.3
2003 12 01 19 30  17.84 238.28  -1.80 101.00 611.4
2003 12 01 19 35  17.84 238.28  -1.80 101.00 611.4
2003 12 01 19 40  17.84 238.28  -1.80 101.00 611.4
2003 12 01 19 45  21.75 240.73  -1.72 101.00 611.5
2003 12 01 19 50  21.75 240.73  -1.72 101.00 611.5
2003 12 01 19 55  21.75 240.73  -1.72 101.00 611.5
2003 12 01 20 00  16.89 238.64  -1.41 101.00 611.7
2003 12 01 20 05  16.89 238.64  -1.41 101.00 611.7
2003 12 01 20 10  16.89 238.64  -1.41 101.00 611.7
2003 12 01 20 15  17.50 245.53  -1.28 101.00 611.8
2003 12 01 20 20  17.50 245.53  -1.28 101.00 611.8
2003 12 01 20 25  17.50 245.53  -1.28 101.00 611.8
2003 12 01 20 30  11.49 219.16  -1.21 101.00 611.8
2003 12 01 20 35  11.49 219.16  -1.21 101.00 611.8
2003 12 01 20 40  11.49 219.16  -1.21 101.00 611.8
2003 12 01 20 45  12.51 218.69  -1.18 101.00 611.9
2003 12 01 20 50  12.51 218.69  -1.18 101.00 611.9
2003 12 01 20 55  12.51 218.69  -1.18 101.00 611.9
2003 12 01 21 00  13.53 215.02  -1.26 101.00 611.9
2003 12 01 21 05  13.53 215.02  -1.26 101.00 611.9
2003 12 01 21 10  13.53 215.02  -1.26 101.00 611.9
2003 12 01 21 15  19.16 232.67  -1.16 100.79 611.9
2003 12 01 21 20  19.16 232.67  -1.16 100.79 611.9
2003 12 01 21 25  19.16 232.67  -1.16 100.79 611.9
2003 12 01 21 30  18.11 232.69  -0.82 101.00 611.9
2003 12 01 21 35  18.11 232.69  -0.82 101.00 611.9
2003 12 01 21 40  18.11 232.69  -0.82 101.00 611.9
2003 12 01 21 45  25.63 252.26  -0.63 100.90 611.8
2003 12 01 21 50  25.63 252.26  -0.63 100.90 611.8
2003 12 01 21 55  25.63 252.26  -0.63 100.90 611.8
2003 12 01 22 00  37.20 261.44  -0.58 101.00 611.6
2003 12 01 22 05  37.20 261.44  -0.58 101.00 611.6
2003 12 01 22 10  37.20 261.44  -0.58 101.00 611.6
2003 12 01 22 15  31.76 261.28  -0.50 100.90 611.7
2003 12 01 22 20  31.76 261.28  -0.50 100.90 611.7
2003 12 01 22 25  31.76 261.28  -0.50 100.90 611.7
2003 12 01 22 30  31.67 262.37  -0.17 101.00 611.7
2003 12 01 22 35  31.67 262.37  -0.17 101.00 611.7
2003 12 01 22 40  31.67 262.37  -0.17 101.00 611.7
2003 12 01 22 45  29.97 259.32  -0.25 101.00 611.7
2003 12 01 22 50  29.97 259.32  -0.25 101.00 611.7
2003 12 01 22 55  29.97 259.32  -0.25 101.00 611.7
2003 12 01 23 00  30.17 261.87  -0.19 100.89 611.6
2003 12 01 23 05  30.17 261.87  -0.19 100.89 611.6
2003 12 01 23 10  30.17 261.87  -0.19 100.89 611.6
2003 12 01 23 15  32.82 268.79  -0.07 100.89 611.7
2003 12 01 23 20  32.82 268.79  -0.07 100.89 611.7
2003 12 01 23 25  32.82 268.79  -0.07 100.89 611.7
2003 12 01 23 30  31.74 271.87  -0.29 101.00 611.7
2003 12 01 23 35  31.74 271.87  -0.29 101.00 611.7
2003 12 01 23 40  31.74 271.87  -0.29 101.00 611.7
2003 12 01 23 45  34.97 277.85  -0.32 101.00 611.6
2003 12 01 23 50  33.37 278.14  -0.34 101.00 611.6
2003 12 01 23 55  33.37 278.14  -0.34 101.00 611.6
2003 12 02 00 00  33.37 278.14  -0.34 101.00 611.6
2003 12 02 00 05  33.37 278.14  -0.34 101.00 611.6
2003 12 02 00 10  33.37 278.14  -0.34 101.00 611.6
2003 12 02 00 15  33.37 278.14  -0.34 101.00 611.6
2003 12 02 00 20  34.13 293.82  -0.53 101.00 611.6
2003 12 02 00 25  34.13 293.82  -0.53 101.00 611.6
2003 12 02 00 30  34.13 293.82  -0.53 101.00 611.6
2003 12 02 00 35  33.43 298.58  -0.85 101.00 611.5
2003 12 02 00 40  33.43 298.58  -0.85 101.00 611.5
2003 12 02 00 45  33.43 298.58  -0.85 101.00 611.5
2003 12 02 00 50  29.72 296.76  -1.04 101.00 611.4
2003 12 02 00 55  29.72 296.76  -1.04 101.00 611.4
2003 12 02 01 00  29.72 296.76  -1.04 101.00 611.4
2003 12 02 01 05  26.61 289.09  -0.95 100.90 611.3
