1993 09 02 16 19    0.05   0.00    NaN   0.00
1993 09 02 16 29    0.05   0.00    NaN   0.00
1993 09 02 16 39    0.05   0.00    NaN   0.00
1993 09 02 16 49    0.05   0.00    NaN   0.00
1993 09 02 16 59    0.05   0.00    NaN   0.00
1993 09 02 17 09    0.05   0.00    NaN   0.00
1993 09 02 17 19    0.05   0.00    NaN   0.00
1993 09 02 17 29    0.05   0.00    NaN   0.00
1993 09 02 17 39    0.05   0.00    NaN   0.00
1993 09 02 17 49    0.05   0.00    NaN   0.00
1993 09 02 17 59    0.05   0.00    NaN   0.00
1993 09 02 18 09    0.05   0.00    NaN   0.00
1993 09 02 18 19    0.05   0.00    NaN   0.00
1993 09 02 18 29    0.05   0.00    NaN   0.00
1993 09 02 18 39    0.05   0.00    NaN   0.00
1993 09 02 18 49    0.05   0.00    NaN   0.00
1993 09 02 18 59    0.05   0.00    NaN   0.00
1993 09 02 19 09    0.05   0.00    NaN   0.00
1993 09 02 19 19    0.05   0.00    NaN   0.00
1993 09 02 19 29    0.05   0.00    NaN   0.00
1993 09 02 19 39    0.05   0.00    NaN   0.00
1993 09 02 19 49    0.05   0.00    NaN   0.00
1993 09 02 19 59    0.05   0.00    NaN   0.00
1993 09 02 20 09    0.05   0.00    NaN   0.00
1993 09 02 20 19    0.05   0.00    NaN   0.00
1993 09 02 20 29    0.05   0.00    NaN   0.00
1993 09 02 20 39    0.05   0.00    NaN   0.00
1993 09 02 20 49    0.05   0.00    NaN   0.00
1993 09 02 20 59    0.05   0.00    NaN   0.00
1993 09 02 21 09    0.05   0.00    NaN   0.00
1993 09 02 21 19    0.05   0.00    NaN   0.00
1993 09 02 21 29    0.05   0.00    NaN   0.00
1993 09 02 21 39    0.05   0.00    NaN   0.00
1993 09 02 21 49    0.05   0.00    NaN   0.00
1993 09 02 21 59    0.05   0.00    NaN   0.00
1993 09 02 22 09    0.05   0.00    NaN   0.00
1993 09 02 22 19    0.05   0.00    NaN   0.00
1993 09 02 22 29    0.05   0.00    NaN   0.00
1993 09 02 22 39    0.05   0.00    NaN   0.00
1993 09 02 22 49    0.05   0.00    NaN   0.00
1993 09 02 22 59    0.05   0.00    NaN   0.00
1993 09 02 23 09    0.05   0.00    NaN   0.00
1993 09 02 23 19    0.05   0.00    NaN   0.00
1993 09 02 23 29    0.05   0.00    NaN   0.00
1993 09 02 23 39    0.05   0.00    NaN   0.00
1993 09 02 23 49    0.05   0.00    NaN   0.00
1993 09 02 23 59    0.05   0.00    NaN   0.00
1993 09 03 00 09    0.05   0.00    NaN   0.00
1993 09 03 00 19    0.05   0.00    NaN   0.00
1993 09 03 00 29    0.05   0.00    NaN   0.00
1993 09 03 00 39    0.05   0.00    NaN   0.00
1993 09 03 00 49    0.05   0.00    NaN   0.00
1993 09 03 00 59    0.05   0.00    NaN   0.00
1993 09 03 01 09    0.05   0.00    NaN   0.00
1993 09 03 01 19    0.05   0.00    NaN   0.00
1993 09 03 01 29    0.05   0.00    NaN   0.00
1993 09 03 01 39    0.05   0.00    NaN   0.00
1993 09 03 01 49    0.05   0.00    NaN   0.00
1993 09 03 01 59    0.05   0.00    NaN   0.00
1993 09 03 02 09    0.05   0.00    NaN   0.00
1993 09 03 02 19    0.05   0.00    NaN   0.00
1993 09 03 02 29    0.05   0.00    NaN   0.00
1993 09 03 02 39    0.05   0.00    NaN   0.00
1993 09 03 02 49    0.05   0.00    NaN   0.00
1993 09 03 02 59    0.05   0.00    NaN   0.00
1993 09 03 03 09    0.05   0.00    NaN   0.00
1993 09 03 03 19    0.05   0.00    NaN   0.00
1993 09 03 03 29    0.05   0.00    NaN   0.00
1993 09 03 03 39    0.05   0.00    NaN   0.00
1993 09 03 03 49    0.05   0.00    NaN   0.00
1993 09 03 03 59    0.05   0.00    NaN   0.00
1993 09 03 04 09    0.05   0.00    NaN   0.00
1993 09 03 04 19    0.05   0.00    NaN   0.00
1993 09 03 04 29    0.05   0.00    NaN   0.00
1993 09 03 04 40    0.05   0.00    NaN   0.00
1993 09 03 04 49    0.05   0.00    NaN   0.00
1993 09 03 04 59    0.05   0.00    NaN   0.00
1993 09 03 05 09    0.05   0.00    NaN   0.00
1993 09 03 05 19    0.05   0.00    NaN   0.00
1993 09 03 05 29    0.05   0.00    NaN   0.00
1993 09 03 05 39    0.05   0.00    NaN   0.00
1993 09 03 05 49    0.05   0.00    NaN   0.00
1993 09 03 05 59    0.05   0.00    NaN   0.00
1993 09 03 06 09    0.05   0.00    NaN   0.00
1993 09 03 06 19    0.05   0.00    NaN   0.00
1993 09 03 06 29    0.05   0.00    NaN   0.00
1993 09 03 06 39    0.05   0.00    NaN   0.00
1993 09 03 06 49    0.05   0.00    NaN   0.00
1993 09 03 06 59    0.05   0.00    NaN   0.00
1993 09 03 07 09    0.05   0.00    NaN   0.00
1993 09 03 07 19    0.05   0.00    NaN   0.00
1993 09 03 07 29    0.05   0.00    NaN   0.00
1993 09 03 07 39    0.05   0.00    NaN   0.00
1993 09 03 07 49    0.05   0.00    NaN   0.00
1993 09 03 07 59    0.05   0.00    NaN   0.00
1993 09 03 08 09    0.05   0.00    NaN   0.00
1993 09 03 08 19    0.05   0.00    NaN   0.00
1993 09 03 08 29    0.05   0.00    NaN   0.00
1993 09 03 08 39    0.05   0.00    NaN   0.00
1993 09 03 08 49    0.05   0.00    NaN   0.00
1993 09 03 08 59    0.05   0.00    NaN   0.00
1993 09 03 09 09    0.05   0.00    NaN   0.00
1993 09 03 09 19    0.05   0.00    NaN   0.00
1993 09 03 09 29    0.05   0.00    NaN   0.00
1993 09 03 09 39    0.05   0.00    NaN   0.00
1993 09 03 09 49    0.05   0.00    NaN   0.00
1993 09 03 09 59    0.05   0.00    NaN   0.00
1993 09 03 10 09    0.05   0.00    NaN   0.00
1993 09 03 10 19    0.05   0.00    NaN   0.00
1993 09 03 10 29    0.05   0.00    NaN   0.00
1993 09 03 10 39    0.05   0.00    NaN   0.00
1993 09 03 10 49    0.05   0.00    NaN   0.00
1993 09 03 10 59    0.05   0.00    NaN   0.00
1993 09 03 11 09    0.05   0.00    NaN   0.00
1993 09 03 11 19    0.05   0.00    NaN   0.00
1993 09 03 11 29    0.05   0.00    NaN   0.00
1993 09 03 11 39    0.05   0.00    NaN   0.00
1993 09 03 11 49    0.05   0.00    NaN   0.00
1993 09 03 11 59    0.05   0.00    NaN   0.00
1993 09 03 12 09    0.05   0.00    NaN   0.00
1993 09 03 12 19    0.05   0.00    NaN   0.00
1993 09 03 12 29    0.05   0.00    NaN   0.00
1993 09 03 12 39    0.05   0.00    NaN   0.00
1993 09 03 12 49    0.05   0.00    NaN   0.00
1993 09 03 12 59    0.05   0.00    NaN   0.00
1993 09 03 13 09    0.05   0.00    NaN   0.00
1993 09 03 13 19    0.05   0.00    NaN   0.00
1993 09 03 13 29    0.05   0.00    NaN   0.00
1993 09 03 13 39    0.05   0.00    NaN   0.00
1993 09 03 13 49    0.05   0.00    NaN   0.00
1993 09 03 13 59    0.05   0.00    NaN   0.00
1993 09 03 14 09    0.05   0.00    NaN   0.00
1993 09 03 14 19    0.05   0.00    NaN   0.00
1993 09 03 14 29    0.05   0.00    NaN   0.00
