2001 04 02 18 19   6.76 152.15  -3.86  72.93 614.47
2001 04 02 18 29   8.42 168.54  -4.60  83.15 614.45
2001 04 02 18 39   7.20 170.02  -2.89  99.92 614.60
2001 04 02 18 49  10.62 169.41  -2.72  99.94 614.86
2001 04 02 18 59  13.09 152.07  -3.70  68.83 615.20
2001 04 02 19 09  10.81 166.68  -3.45  63.77 615.27
2001 04 02 19 19   7.48 280.41  -2.89  96.97 615.28
2001 04 02 19 29   4.17 174.84  -2.72  96.09 615.23
2001 04 02 19 39  10.98 167.47  -2.76  91.26 615.28
2001 04 02 19 49  10.96 168.33  -3.21  78.68 615.39
2001 04 02 19 59  14.82 166.59  -3.33  71.90 615.27
2001 04 02 20 09  16.30 154.80  -3.26  67.70 615.23
2001 04 02 20 19  17.22 159.74  -3.33  57.21 615.27
2001 04 02 20 29  15.16 146.79  -3.50  57.02 615.30
2001 04 02 20 39  16.38 147.96  -3.45  57.16 615.33
2001 04 02 20 49  16.82 134.35  -3.38  56.38 615.30
2001 04 02 20 59  15.69 140.47  -3.62  54.45 615.41
2001 04 02 21 09  13.59 135.47  -3.62  53.59 615.49
2001 04 02 21 19  17.45 136.17  -3.57  50.47 615.62
2001 04 02 21 29  17.94 149.20  -3.57  50.54 615.53
2001 04 02 21 39  21.84 155.07  -3.33  40.36 615.53
2001 04 02 21 49  17.94 151.31  -2.96  26.88 615.68
2001 04 02 21 59  14.53 155.08  -2.64  31.24 615.67
2001 04 02 22 09  17.99 150.09  -2.40  28.77 615.81
2001 04 02 22 19  15.68 147.67  -2.35  31.74 615.85
2001 04 02 22 29  14.23 161.83  -2.35  25.83 615.86
2001 04 02 22 39  14.82 152.17  -2.27  27.56 615.84
2001 04 02 22 49  11.94 160.08  -2.27  27.90 615.80
2001 04 02 22 59  15.84 160.35  -2.47  27.66 615.71
2001 04 02 23 09  11.25 157.53  -2.22  27.29 615.78
2001 04 02 23 19  12.79 164.44  -2.40  22.76 615.70
2001 04 02 23 29  13.74 159.21  -2.35  21.09 615.72
2001 04 02 23 39  12.27 170.29  -2.52  21.95 615.59
2001 04 02 23 49  10.29 166.77  -2.40  18.01 615.58
2001 04 02 23 59  12.08 165.70  -2.27  17.59 615.52
2001 04 03 00 09   9.70 178.27  -2.35  17.18 615.41
2001 04 03 00 19   9.20  81.81  -2.10  14.50 615.34
2001 04 03 00 29   8.60 320.81  -1.55  23.90 615.33
2001 04 03 00 39   8.62 183.74  -1.42  23.03 615.25
2001 04 03 00 49   7.74 235.54  -1.42  22.02 615.18
2001 04 03 00 59   3.49 253.90  -1.38  22.68 615.30
2001 04 03 01 09   5.78 231.22  -1.37  22.41 615.22
2001 04 03 01 19   4.27 158.24  -1.18  23.32 615.18
2001 04 03 01 29   4.20 186.95  -1.18  21.49 615.19
2001 04 03 01 39   5.93 153.22  -1.18  19.63 615.13
2001 04 03 01 49   4.02 182.73  -1.13  20.97 615.04
2001 04 03 01 59   2.85 180.36  -1.13  22.22 615.00
2001 04 03 02 09   5.39   7.02  -1.01  21.97 614.84
2001 04 03 02 19   5.05 254.52  -0.93  20.88 614.83
2001 04 03 02 29   5.93 202.32  -0.94  20.85 614.65
2001 04 03 02 39   7.35 213.39  -0.89  20.51 614.61
2001 04 03 02 49   6.59 252.23  -0.89  19.53 614.57
2001 04 03 02 59   8.52 210.27  -0.89  20.49 614.44
2001 04 03 03 09   8.57 221.14  -0.89  26.12 614.41
2001 04 03 03 19   8.96 238.44  -1.01  20.51 614.37
2001 04 03 03 29  10.57 218.70  -1.13  21.88 614.30
2001 04 03 03 39  10.14 238.70  -1.13  22.63 614.33
2001 04 03 03 49  11.79 257.75  -1.01  26.25 614.37
2001 04 03 03 59  11.29 253.28  -0.93  26.30 614.34
2001 04 03 04 09  13.09 259.17  -1.01  28.79 614.40
2001 04 03 04 19  12.42 258.25  -1.01  28.57 614.45
2001 04 03 04 29  11.23 264.44  -0.93  26.93 614.52
2001 04 03 04 39  14.48 266.71  -1.01  26.00 614.49
2001 04 03 04 49  11.12 271.20  -1.01  30.59 614.58
2001 04 03 04 59  14.28 270.40  -1.06  29.11 614.61
2001 04 03 05 09  13.65 271.19  -1.13  31.69 614.68
2001 04 03 05 19  13.69 265.49  -1.05  33.96 614.67
2001 04 03 05 29  10.92 267.34  -1.05  30.37 614.75
2001 04 03 05 39  12.47 273.75  -1.05  29.13 614.80
2001 04 03 05 49  12.08 275.49  -1.18  30.47 614.94
2001 04 03 05 59  14.77 272.69  -1.13  31.57 614.96
2001 04 03 06 09  14.28 275.94  -1.30  51.27 615.01
2001 04 03 06 19  14.08 273.75  -1.30  52.25 615.07
2001 04 03 06 29  12.13 277.70  -1.25  44.22 615.18
2001 04 03 06 39  12.61 278.40  -1.27  46.80 615.27
2001 04 03 06 49  13.01 276.81  -1.25  46.25 615.40
2001 04 03 06 59  14.66 278.31  -1.25  52.13 615.50
2001 04 03 07 09  14.33 276.20  -1.18  45.90 615.59
2001 04 03 07 19  13.69 277.43  -1.01  51.37 615.69
2001 04 03 07 29  14.83 277.35  -0.94  51.49 615.82
2001 04 03 07 39  13.20 271.09  -0.69  58.31 615.91
2001 04 03 07 49  11.94 268.79  -0.57  51.22 616.03
2001 04 03 07 59  12.32 272.60  -0.32  48.03 616.12
2001 04 03 08 09  12.63 274.90  -0.20  51.10 616.21
2001 04 03 08 19  11.84 267.52  -0.08  49.30 616.29
2001 04 03 08 29  12.27 290.70   0.16  52.52 616.37
2001 04 03 08 39   9.64 286.83   0.16  42.58 616.51
2001 04 03 08 49  11.31 260.23   0.28  49.17 616.52
2001 04 03 08 59   6.17 261.07   0.28  37.42 616.49
2001 04 03 09 09   9.64 272.26   0.39  38.91 616.57
2001 04 03 09 19   7.05 264.17   0.65  36.21 616.61
2001 04 03 09 29  12.16 273.06   0.90  42.78 616.53
2001 04 03 09 39  10.62 306.88   1.14  31.12 616.54
2001 04 03 09 49   8.62 287.27   1.14  33.45 616.54
2001 04 03 09 59   7.93 292.96   1.14  38.18 616.53
2001 04 03 10 09  12.64 280.58   1.14  39.58 616.46
2001 04 03 10 19  10.11 258.55   1.44  41.78 616.54
2001 04 03 10 29  11.15 327.77   2.12  44.59 616.51
2001 04 03 10 39  13.74 281.13   1.80  50.25 616.53
2001 04 03 10 49  16.28 308.37   1.63  53.84 616.49
2001 04 03 10 59   0.21  62.64   1.39  51.03 616.62
2001 04 03 11 09  -0.08 171.34   1.44  51.27 616.58
2001 04 03 11 19  12.34 247.03   1.80  52.49 616.66
2001 04 03 11 29  -0.08 276.02   2.36  48.06 616.62
2001 04 03 11 39   3.09 328.91   2.85  47.98 616.58
2001 04 03 11 49  13.36  36.64   2.85  41.02 616.37
2001 04 03 11 59  11.01  81.36   2.36  42.03 616.26
2001 04 03 12 09   6.95  78.90   1.92  46.39 616.26
2001 04 03 12 19   6.79  77.92   2.00  45.93 616.10
2001 04 03 12 29   5.00  53.54   2.61  42.95 616.12
2001 04 03 12 39   4.27 119.31   2.61  41.59 616.00
2001 04 03 12 49   2.59 328.38   2.36  42.56 615.89
2001 04 03 12 59   3.98 319.77   2.17  43.21 615.71
2001 04 03 13 09   7.28  57.90   2.24  40.24 615.54
2001 04 03 13 19   5.83 352.63   2.97  39.23 615.40
2001 04 03 13 29   6.01 354.37   2.53  39.45 615.20
2001 04 03 13 39   6.50 320.99   2.85  38.05 615.07
2001 04 03 13 49   8.82 300.48   3.34  36.36 614.93
2001 04 03 13 59   9.01 347.97   2.29  37.94 614.86
2001 04 03 14 09   9.36 285.53   2.38  37.70 614.72
2001 04 03 14 19   9.70 248.80   1.44  39.94 614.71
2001 04 03 14 29  12.52 312.63   1.02  41.21 614.54
2001 04 03 14 39  15.07 306.70   1.31  42.04 614.28
2001 04 03 14 49   6.11 322.83   1.75  38.96 614.45
2001 04 03 14 59   5.88 311.77   2.04  36.01 614.39
2001 04 03 15 09   3.73 335.88   0.95  38.92 614.43
2001 04 03 15 19   4.23 356.31   0.53  40.97 614.34
2001 04 03 15 29   6.56 279.98   0.21  44.17 614.26
2001 04 03 15 39   6.22 340.16   0.41  42.07 614.20
2001 04 03 15 49  10.76 327.07   0.70  39.55 614.05
2001 04 03 15 59  12.61 315.56   0.95  39.38 614.01
2001 04 03 16 09  11.15 333.91   1.87  36.99 614.10
2001 04 03 16 19  13.06 334.16   1.31  38.45 614.04
2001 04 03 16 29   6.66 309.76   1.02  42.87 614.16
2001 04 03 16 39  12.92 308.55   1.75  44.02 614.12
2001 04 03 16 49  12.58 331.52   0.95  47.76 614.15
2001 04 03 16 59  13.45 319.07   1.02  50.20 614.14
2001 04 03 17 09  11.30 316.96   1.26  51.03 614.21
2001 04 03 17 19  11.04  50.78   0.79  51.51 614.16
2001 04 03 17 29  13.88 326.19   0.65  51.86 614.22
2001 04 03 17 39  10.33 332.16   0.70  51.15 614.38
2001 04 03 17 49  10.23 331.48   0.65  50.88 614.46
2001 04 03 17 59   8.28 341.57   0.90  49.52 614.57
2001 04 03 18 09   5.88 350.17   0.90  46.47 614.74
2001 04 03 18 19   6.02 342.95   0.46  48.42 614.83
2001 04 03 18 29   7.41 344.10   0.53  47.61 614.93
2001 04 03 18 39   6.42 342.77   0.16  49.35 615.04
2001 04 03 18 49   7.35 344.89  -0.27  49.78 615.08
2001 04 03 18 59   5.64 347.26  -0.40  49.66 615.19
2001 04 03 19 09   3.93 341.14  -0.57  51.18 615.31
2001 04 03 19 19   4.41 343.67  -1.01  58.94 615.35
2001 04 03 19 29   2.37 340.68  -1.42  57.77 615.39
2001 04 03 19 39   4.32 340.43  -1.66  54.52 615.46
2001 04 03 19 49   6.32 338.05  -1.66  54.06 615.57
2001 04 03 19 59   6.48 340.60  -1.05  50.17 615.70
2001 04 03 20 09   6.43 322.49  -0.81  50.56 615.79
2001 04 03 20 19   6.82 338.22  -0.76  49.74 615.91
2001 04 03 20 29   4.24 332.33  -0.76  49.45 615.96
2001 04 03 20 39   2.81 339.28  -0.82  50.76 616.05
2001 04 03 20 49   4.51 347.27  -0.81  52.32 616.16
2001 04 03 20 59   3.54 336.36  -0.82  51.10 616.33
2001 04 03 21 09   5.30 346.48  -0.69  49.42 616.35
2001 04 03 21 19   5.59 346.91  -0.69  49.85 616.42
2001 04 03 21 29   1.87  35.85  -0.57  47.94 616.46
2001 04 03 21 39  -0.08 337.78  -0.64  49.08 616.60
2001 04 03 21 49  -0.08   6.57  -0.45  46.46 616.65
2001 04 03 21 59   1.68 359.21  -0.52  46.98 616.60
2001 04 03 22 09   3.13   6.57  -0.52  46.54 616.63
2001 04 03 22 19   3.19 338.13  -0.50  46.05 616.59
2001 04 03 22 29   2.10 344.01  -0.57  46.75 616.62
2001 04 03 22 39   3.95 343.22  -0.52  46.71 616.58
2001 04 03 22 49   4.27 341.57  -0.40  45.61 616.54
2001 04 03 22 59   3.04 333.83  -0.40  45.39 616.48
2001 04 03 23 09   4.18 346.39  -0.32  45.29 616.42
2001 04 03 23 19   5.55 338.75  -0.34  45.66 616.26
2001 04 03 23 29   5.15 339.71  -0.32  43.43 616.09
2001 04 03 23 39   7.20 334.45  -0.27  41.63 615.94
2001 04 03 23 49   5.73 318.06  -0.20  42.11 615.90
2001 04 03 23 59   6.86 310.99  -0.40  41.44 615.85
2001 04 04 00 09   6.30 330.77  -0.27  38.96 615.73
